"","站名","年","月","PM2.5 天數","PM10 天數","PM2.5 average","PM10 average","縣市","鄉鎮"
"63","楠梓","2012","01",27,4,47.7472693272132,88.7590306997039,"高雄市","楠梓區"
"64","萬里","2012","01",3,0,17.4229195885928,47.9174555867228,"新北市","萬里區"
"65","萬華","2012","01",7,0,24.9702393912773,35.3612085086489,"臺北市","萬華區"
"66","嘉義","2012","01",20,1,44.00876178974,77.5878038803179,"嘉義市","西區"
"67","彰化","2012","01",10,0,29.69798971482,43.6787943789016,"彰化縣","彰化市"
"68","鳳山","2012","01",27,8,53.9885460495559,103.144109396914,"高雄市","鳳山區"
"69","潮州","2012","01",28,6,59.1959656168983,89.2643705639849,"屏東縣","潮州鎮"
"70","線西","2012","01",7,0,26.1551441733564,47.0606855411636,"彰化縣","線西鄉"
"71","橋頭","2012","01",26,1,49.0260468260118,81.6640485118746,"高雄市","橋頭區"
"72","頭份","2012","01",3,0,23.2691061233453,39.6438134450091,"苗栗縣","頭份鎮"
"73","龍潭","2012","01",1,0,19.1415818675636,46.7384403036577,"桃園市","龍潭區"
"74","豐原","2012","01",4,0,22.8047341625182,44.0190195861322,"臺中市","豐原區"
"75","關山","2012","01",0,0,16.8116260784564,21.0844596030431,"臺東縣","關山鎮"
"76","觀音","2012","01",5,0,21.7433114454503,57.6143482510944,"桃園市","觀音區"
"77","二林","2013","01",18,1,40.7645501296273,72.1996844319776,"彰化縣","二林鎮"
"78","三重","2013","01",18,2,36.4418324195673,68.5801386940938,"新北市","三重區"
"79","三義","2013","01",7,0,26.6272176280942,38.2829327638234,"苗栗縣","三義鄉"
"80","土城","2013","01",9,0,26.4003838488226,40.8072957559652,"新北市","土城區"
"81","士林","2013","01",5,0,25.142671961045,43.3416156657741,"臺北市","北投區"
"82","大同","2013","01",12,0,32.0798535849377,54.1328307620383,"臺北市","大同區"
"83","大里","2013","01",16,0,37.0035100088719,53.2421379345292,"臺中市","大里區"
"84","大園","2013","01",14,0,33.1630223305694,45.0332249564367,"桃園市","大園區"
"85","大寮","2013","01",29,3,55.74053265575,87.905726519857,"高雄市","大寮區"
"86","小港","2013","01",30,6,62.9878316456064,91.3319148710102,"高雄市","小港區"
"87","中山","2013","01",5,0,26.3995231405276,43.241027030473,"臺北市","中山區"
"88","中壢","2013","01",11,2,30.4113487611033,65.6394244255044,"桃園市","中壢區"
"89","仁武","2013","01",26,6,56.1823122529644,101.155747694335,"高雄市","仁武區"
"90","斗六","2013","01",21,1,45.3147695397169,76.7416841982235,"雲林縣","斗六市"
"91","冬山","2013","01",2,0,18.3957403629564,34.8671608896013,"宜蘭縣","冬山鄉"
"92","古亭","2013","01",6,0,28.2671809256662,48.5768705639849,"臺北市","大安區"
"93","臺西","2013","01",13,0,34.1194704080398,56.8883513050764,"雲林縣","臺西鄉"
"94","臺東","2013","01",0,0,11.6471800756513,28.6577574482553,"臺東縣","臺東市"
"95","臺南","2013","01",22,3,50.1121061285239,84.0372984652231,"臺南市","中西區"
"96","左營","2013","01",29,7,58.0765544647031,97.6171692379617,"高雄市","左營區"
"97","平鎮","2013","01",6,0,24.4793127629734,56.9156732117812,"桃園市","平鎮區"
"98","永和","2013","01",9,0,28.4171926133707,40.7257480130902,"新北市","永和區"
"99","安南","2013","01",20,5,46.0791151345149,88.4718910705937,"臺南市","安南區"
"100","朴子","2013","01",16,6,40.6927143100004,94.4188713927494,"嘉義縣","朴子市"
"101","汐止","2013","01",3,0,22.5777189850822,37.5434070721238,"新北市","汐止區"
"102","竹山","2013","01",25,0,48.6024503196663,59.2217741935484,"南投縣","竹山鎮"
"103","竹東","2013","01",9,0,24.6306100981767,38.319113292816,"新竹縣","竹東鎮"
"104","西屯","2013","01",15,0,35.591280972417,67.2649018232819,"臺中市","西屯區"
